COlonne1,Colonne2
0,0.0116495351050066
0.01,0.00627258606280422
0.02,0.000765135600410559
0.03,0.00354207088306786
0.04,-0.00692701797685153
0.05,0.0170092011204601
0.06,0.000650757923914762
0.07,0.0180481660267609
0.08,0.00274039509069327
0.09,0.00884373401474569
0.1,-0.0143060650924578
0.11,-0.00683240765682271
0.12,0.0126525917581958
0.13,-0.00618307449763005
0.14,0.0059944598020622
0.15,-0.00336700882106283
0.16,-0.00111107108107076
0.17,-0.0132406303878926
0.18,-0.0124503424274913
0.19,0.0100912241303136
0.2,-0.000212663648525848
0.21,-0.00775918521982372
0.22,-0.00743046929854632
0.23,0.00882425044209253
0.24,-0.000368581194462727
0.25,0.00531863464556463
0.26,0.00414281304843833
0.27,0.00773371472643665
0.28,0.00417586299177618
0.29,-0.013239754851949
0.3,0.00392323645345685
0.31,0.0114194144546289
0.32,0.00745441076618342
0.33,-0.02360040411188
0.34,-0.00256471633881081
0.35,-0.00306713748352801
0.36,0.00332953079936106
0.37,-0.00497413506666924
0.38,0.000104873384853536
0.39,0.0161768367546587
0.4,0.00858109589037001
0.41,0.00278726021927464
0.42,-0.00912376162661356
0.43,-0.000592373148744796
0.44,0.0015888402535818
0.45,-0.00546375636640936
0.46,-0.00326445106532501
0.47,0.00424697416893415
0.48,0.0156653770822843
0.49,-0.0243560493423863
0.5,-0.0108992265539158
0.51,0.0112923054577449
0.52,0.0058667612846286
0.53,-0.00267230255999981
0.54,0.00417563419278091
0.55,-0.00975123001742698
0.56,-0.0101965229125068
0.57,0.0031794495376691
0.58,0.0151465824780909
0.59,0.00747042159849011
0.6,-0.00510189824086856
0.61,0.00882757110480819
0.62,-0.00250584287875594
0.63,-0.00728515308921676
0.64,-0.00447493568251742
0.65,-0.00615992015700829
0.66,-0.00213215642532839
0.67,0.0055684317325224
0.68,-0.0107026072600534
0.69,0.00344085573221473
0.7,0.0112415449780404
0.71,0.00140424001182052
0.72,0.00693331501577075
0.73,-0.000621704990876505
0.74,0.0200898119874919
0.75,0.00915543145186761
0.76,-0.0182090893103542
0.77,0.000294702427209931
0.78,-0.0181285098530768
0.79,0.0102299014812413
0.8,0.00388899278877641
0.81,0.00633708703704523
0.82,0.00868844645922928
0.83,0.0174782684493254
0.84,-0.00323012816552378
0.85,-0.00138459717015831
0.86,0.00616253681512877
0.87,0.0097988735472266
0.88,-0.0111147462074838
0.89,-0.00544563002396896
0.9,0.000461288672795533
0.91,-0.024761345554828
0.92,0.0116482900275589
0.93,-0.0102111724419968
0.94,0.0115768679010505
0.95,-0.00783150849702517
0.96,0.00637345929028368
0.97,0.00822128310824321
0.98,-0.00174608832929934
0.99,0.00563768304367391
1,-0.00126192444997832
1.01,0.00519446699058521
1.02,-0.0123562186911981
1.03,-0.0103485153492775
1.04,0.00879572451751584
1.05,-0.0141694773804071
1.06,-0.00876083675092816
1.07,-0.0305721993182349
1.08,-0.022655975719405
1.09,-0.0306122128025546
1.1,-0.0300815135186157
1.11,-0.022488150002487
1.12,-0.0274826236334641
1.13,-0.0307429203111673
1.14,-0.0461783784341175
1.15,-0.0482276713517277
1.16,-0.0693289742931845
1.17,-0.0689174726607509
1.18,-0.0574051223850173
1.19,-0.0668561327227701
1.2,-0.0772025820139499
1.21,-0.0998084998203416
1.22,-0.0898247807008076
1.23,-0.0948832055687457
1.24,-0.108504056361852
1.25,-0.107144747831181
1.26,-0.0899589612024591
1.27,-0.125659796299268
1.28,-0.142560737386889
1.29,-0.158431834301883
1.3,-0.144529528524747
1.31,-0.148775112136176
1.32,-0.158724266571639
1.33,-0.131536279769855
1.34,-0.146901344999783
1.35,-0.15445379532766
1.36,-0.161376668311953
1.37,-0.198575882037478
1.38,-0.157117676007914
1.39,-0.177673577113246
1.4,-0.190784299621415
1.41,-0.205949274674582
1.42,-0.188024564087105
1.43,-0.171382240903644
1.44,-0.191761697825927
1.45,-0.189931632425814
1.46,-0.203041659752616
1.47,-0.193517706777768
1.48,-0.22155300337199
1.49,-0.19890707434512
1.5,-0.205401406459813
1.51,-0.214433266751504
1.52,-0.212350012605175
1.53,-0.200007175186427
1.54,-0.216981283077209
1.55,-0.209622964554719
1.56,-0.232540299498456
1.57,-0.208585533069364
1.58,-0.20292637482833
1.59,-0.227450895569819
1.6,-0.232046458621708
1.61,-0.23171266724793
1.62,-0.215201786555903
1.63,-0.229537198253175
1.64,-0.222590770645027
1.65,-0.235196813615619
1.66,-0.210165094243938
1.67,-0.227254136083077
1.68,-0.209931846361979
1.69,-0.209917088860318
